x;p1;p2;p3;p4
1.23;-1.59615e-006;2.04507e-005;-1.83598e-006;7.64265e-005
1.235;1.85502e-005;1.31738e-005;-4.94907e-006;7.66142e-005
1.24;-5.49417e-006;3.20086e-006;-7.87358e-006;7.66314e-005
1.245;-7.10989e-006;-6.31913e-006;-1.04208e-005;7.64802e-005
1.25;-3.60561e-006;-1.2189e-005;-1.24253e-005;7.61632e-005
1.255;3.97745e-006;-1.2969e-005;-1.37608e-005;7.56833e-005
1.26;9.10083e-006;-9.75734e-006;-1.43521e-005;7.50434e-005
1.265;-4.49377e-006;-5.4159e-006;-1.41845e-005;7.42469e-005
1.27;-2.10305e-006;-2.98195e-006;-1.33062e-005;7.32973e-005
1.275;-9.73055e-006;-4.16443e-006;-1.18266e-005;7.21983e-005
1.28;7.10976e-006;-8.3482e-006;-9.90669e-006;7.09537e-005
1.285;1.11951e-005;-1.25316e-005;-7.74587e-006;6.95678e-005
1.29;-8.02779e-007;-1.27922e-005;-5.56337e-006;6.80449e-005
1.295;-1.14748e-005;-6.99089e-006;-3.57755e-006;6.63896e-005
1.3;-1.75968e-005;3.24514e-006;-1.98453e-006;6.46065e-005
1.305;3.0589e-005;1.34139e-005;-9.38319e-007;6.27008e-005
1.31;1.7597e-006;1.95548e-005;-5.34561e-007;6.06775e-005
1.315;-1.08827e-005;2.09884e-005;-7.99576e-007;5.85422e-005
1.32;-4.35531e-006;1.9632e-005;-1.68593e-006;5.63006e-005
1.325;-7.71301e-006;1.68667e-005;-3.07523e-006;5.39585e-005
1.33;1.33674e-005;1.16644e-005;-4.7879e-006;5.15221e-005
1.335;1.24602e-005;2.17073e-006;-6.59931e-006;4.8998e-005
1.34;-1.69332e-005;-1.09936e-005;-8.26054e-006;4.63928e-005
1.345;-3.84042e-006;-2.33298e-005;-9.52202e-006;4.37135e-005
1.35;2.19071e-006;-2.8631e-005;-1.01576e-005;4.09673e-005
1.355;9.21562e-006;-2.31425e-005;-9.9871e-006;3.81619e-005
1.36;1.5608e-006;-8.70285e-006;-8.89419e-006;3.53048e-005
1.365;-6.62148e-006;7.29774e-006;-6.83941e-006;3.24043e-005
1.37;-7.10126e-006;1.55531e-005;-3.86552e-006;2.94684e-005
1.375;-2.26357e-007;1.06099e-005;-9.57625e-008;2.65058e-005
1.38;1.44695e-005;-4.53105e-006;4.27531e-006;2.35251e-005
1.385;2.20285e-006;-1.8856e-005;8.99721e-006;2.05352e-005
1.39;-4.07157e-006;-2.01442e-005;1.37838e-005;1.7545e-005
1.395;-2.0071e-005;-4.30073e-006;1.83364e-005;1.45639e-005
1.4;7.04471e-006;2.01255e-005;2.23677e-005;1.16008e-005
1.405;1.69767e-005;3.70137e-005;2.5624e-005;8.66523e-006
1.41;-1.35765e-006;3.43968e-005;2.79043e-005;5.76632e-006
1.415;-9.5131e-006;1.37314e-005;2.90738e-005;2.91332e-006
1.42;-5.05511e-006;-1.09363e-005;2.90722e-005;1.15338e-007
1.425;1.10249e-005;-2.34336e-005;2.79148e-005;-2.61864e-006
1.43;-9.56029e-007;-1.73731e-005;2.56875e-005;-5.27988e-006
1.435;-7.53883e-006;-3.69961e-007;2.25364e-005;-7.85985e-006
1.44;-5.57085e-006;1.24499e-005;1.86535e-005;-1.03504e-005
1.445;1.45438e-005;1.04073e-005;1.4259e-005;-1.27437e-005
1.45;1.17813e-005;-4.72627e-006;9.58393e-006;-1.50324e-005
1.455;-1.68636e-005;-2.09216e-005;4.85257e-006;-1.72095e-005
1.46;-1.24019e-005;-2.61363e-005;2.67798e-007;-1.92689e-005
1.465;3.11937e-006;-1.77066e-005;-4.00028e-006;-2.12046e-005
1.47;1.50218e-005;-3.05075e-006;-7.82158e-006;-2.30117e-005
1.475;7.4858e-006;7.99467e-006;-1.1109e-005;-2.46858e-005
1.48;-7.48158e-006;1.14363e-005;-1.38171e-005;-2.62232e-005
1.485;-1.66424e-005;1.06265e-005;-1.59379e-005;-2.76209e-005
1.49;4.1949e-006;1.09126e-005;-1.74938e-005;-2.88771e-005
1.495;1.02252e-005;1.36854e-005;-1.8529e-005;-2.99903e-005
1.5;2.73509e-006;1.55141e-005;-1.91014e-005;-3.09603e-005
1.505;-3.30483e-006;1.22678e-005;-1.92746e-005;-3.17875e-005
1.51;-7.15759e-006;3.53923e-006;-1.91116e-005;-3.24733e-005
1.515;6.08647e-006;-6.70902e-006;-1.86704e-005;-3.302e-005
1.52;-6.18341e-006;-1.33113e-005;-1.80016e-005;-3.34305e-005
